Epoch,CTR
515,0.21
516,0.31
517,0.28
518,0.31
519,0.13
520,0.22
521,0.27
522,0.30
523,0.25
524,0.31
525,0.21
526,0.22
527,0.33
528,0.21
529,0.18
530,0.23
531,0.21
532,0.16
533,0.26
534,0.21
535,0.33
536,0.19
537,0.18
538,0.22
539,0.29
540,0.30
541,0.20
542,0.29
543,0.39
544,0.23
545,0.22
546,0.35
547,0.23
548,0.11
549,0.19
550,0.24
551,0.36
552,0.24
553,0.35
554,0.21
555,0.16
556,0.33
557,0.22
558,0.27
559,0.23
560,0.16
561,0.24
562,0.19
563,0.29
564,0.29
565,0.22
566,0.16
567,0.22
568,0.27
569,0.20
570,0.24
571,0.21
572,0.33
573,0.24
574,0.22
575,0.25
576,0.38
577,0.23
578,0.38
579,0.16
580,0.26
581,0.26
582,0.20
583,0.24
584,0.27
585,0.23
586,0.26
587,0.23
588,0.19
589,0.19
590,0.32
591,0.19
592,0.19
593,0.27
594,0.30
595,0.17
596,0.18
597,0.25
598,0.19
599,0.33
600,0.21
601,0.13
602,0.19
603,0.19
604,0.24
605,0.18
606,0.20
607,0.25
608,0.16
609,0.40
610,0.21
611,0.20
612,0.16
613,0.13
614,0.13
615,0.14
616,0.11
617,0.21
618,0.15
619,0.22
620,0.22
621,0.25
622,0.25
623,0.23
624,0.20
625,0.30
626,0.15
627,0.13
628,0.32
629,0.24
630,0.28
631,0.26
632,0.23
633,0.23
634,0.26
635,0.19
636,0.12
637,0.14
638,0.18
639,0.16
640,0.19
641,0.30
642,0.24
643,0.12
644,0.22
645,0.14
646,0.21
647,0.21
648,0.16
649,0.31
650,0.20
651,0.25
652,0.28
653,0.12
654,0.17
655,0.28
656,0.24
657,0.31
658,0.14
659,0.19
660,0.26
661,0.23
662,0.25
663,0.12
664,0.31
665,0.23
666,0.18
667,0.26
668,0.18
669,0.22
670,0.21
671,0.19
672,0.14
673,0.23
674,0.36
675,0.23
676,0.25
677,0.22
678,0.22
679,0.24
680,0.14
681,0.29
682,0.18
683,0.21
684,0.23
685,0.16
686,0.21
687,0.25
688,0.26
689,0.17
690,0.14
691,0.16
692,0.27
693,0.24
694,0.22
695,0.23
696,0.20
697,0.19
698,0.24
699,0.24
700,0.20
701,0.20
702,0.11
703,0.19
704,0.12
705,0.25
706,0.19
707,0.17
708,0.22
709,0.23
710,0.14
711,0.16
712,0.21
713,0.24
714,0.15
715,0.21
716,0.19
717,0.14
718,0.16
719,0.17
720,0.17
721,0.15
722,0.27
723,0.13
724,0.25
725,0.36
726,0.18
727,0.21
728,0.18
729,0.24
730,0.22
731,0.14
732,0.19
733,0.17
734,0.18
735,0.14
736,0.16
737,0.17
738,0.23
739,0.20
740,0.13
741,0.34
742,0.20
743,0.21
744,0.23
745,0.33
746,0.20
747,0.18
748,0.14
749,0.18
750,0.12
751,0.16
752,0.20
753,0.22
754,0.22
755,0.16
756,0.28
757,0.20
758,0.16
759,0.13
760,0.19
761,0.23
762,0.33
763,0.25
764,0.17
765,0.27
766,0.25
767,0.11
768,0.17
769,0.12
770,0.17
771,0.21
772,0.15
773,0.10
774,0.21
775,0.12
776,0.17
777,0.22
778,0.10
779,0.16
780,0.19
781,0.14
782,0.15
783,0.13
784,0.27
785,0.24
786,0.14
787,0.17
788,0.16
789,0.21
790,0.18
791,0.20
792,0.22
793,0.23
794,0.27
795,0.13
796,0.17
797,0.27
798,0.10
799,0.31
800,0.13
801,0.19
802,0.14
803,0.18
804,0.24
805,0.14
806,0.16
807,0.10
808,0.15
809,0.15
810,0.19
811,0.18
812,0.16
813,0.24
814,0.18
815,0.15
816,0.19
817,0.23
818,0.20
819,0.18
820,0.15
821,0.26
822,0.24
823,0.14
824,0.21
825,0.18
826,0.14
827,0.18
828,0.12
829,0.15
830,0.13
831,0.15
832,0.17
833,0.22
834,0.18
835,0.17
836,0.26
837,0.29
838,0.11
839,0.11
840,0.26
841,0.18
842,0.19
843,0.12
844,0.14
845,0.11
846,0.13
847,0.19
848,0.23
849,0.19
850,0.16
851,0.23
852,0.20
853,0.33
854,0.33
855,0.34
856,0.16
857,0.31
858,0.14
859,0.17
860,0.27
861,0.15
862,0.17
863,0.19
864,0.17
865,0.27
866,0.23
867,0.24
868,0.21
869,0.23
870,0.20
871,0.25
872,0.13
873,0.17
874,0.16
875,0.25
876,0.13
877,0.16
878,0.21
879,0.19
880,0.21
881,0.26
882,0.20
883,0.18
884,0.29
885,0.24
886,0.33
887,0.17
888,0.17
889,0.16
890,0.19
891,0.14
892,0.21
893,0.15
894,0.20
895,0.21
896,0.20
897,0.23
898,0.22
899,0.25
900,0.14
901,0.24
902,0.21
903,0.15
904,0.21
905,0.17
906,0.22
907,0.16
908,0.13
909,0.22
910,0.20
911,0.29
912,0.14
913,0.18
914,0.12
915,0.24
916,0.22
917,0.20
918,0.29
919,0.24
920,0.28
921,0.24
922,0.12
923,0.29
924,0.18
925,0.16
926,0.15
927,0.35
928,0.17
929,0.18
930,0.26
931,0.34
932,0.12
933,0.14
934,0.21
935,0.13
936,0.20
937,0.22
938,0.20
939,0.14
940,0.10
941,0.21
942,0.25
943,0.17
944,0.10
945,0.15
946,0.14
947,0.22
948,0.22
949,0.19
950,0.18
951,0.21
952,0.12
953,0.24
954,0.12
955,0.15
956,0.13
957,0.19
958,0.15
959,0.14
960,0.19
961,0.23
962,0.17
963,0.12
964,0.12
965,0.19
966,0.21
967,0.14
968,0.16
969,0.19
970,0.17
971,0.15
972,0.14
973,0.11
974,0.12
975,0.18
976,0.20
977,0.17
978,0.25
979,0.24
980,0.29
981,0.23
982,0.12
983,0.26
984,0.19
985,0.14
986,0.14
987,0.10
988,0.12
989,0.15
990,0.13
991,0.22
992,0.19
993,0.12
994,0.10
995,0.10
996,0.10
997,0.12
998,0.16
999,0.13
  0,0.25
  1,0.22
  2,0.41
  3,0.27
  0,0.12
  1,0.39
  2,0.17
  3,0.19
  4,0.10
  5,0.20
  6,0.25
  7,0.16
  8,0.32
  9,0.33
 10,0.31
 11,0.39
 12,0.35
 13,0.28
